---
Bogennummer: '27914'
Ort: Magdlos
Gid: 97194
Erstelldatum: 2019-11-21 14:42:58.572054
Änderungsdatum: 2021-12-22 14:12:35.691325
...
WS1	Em Wenter fliegen die trockene Blärr dorch d. Loft rem.
WS2	Es hairt gleich auf zu schneie, do werd das Wärr wire bässer.
WS3	Thu Kohle in Owe, daß die Melch bal zu koche anfangt.
WS4	Der gure ale Mann is mit dem Gaul durch es Eis gebroche & ins kal Wasser gefalle.
WS5	Er is vor oder Woche gestorbe.
WS6	Das Feur war ze heiß, die Kuche sin ja one ganz schwarz gebrannt.
WS7	Er eßt Eier ömer ohne Saalz on Päffer.
WS8	Die Füß thunmr sehr weh, ich glei ich hon ze durch gelaufe.
WS9	Ich sin bei der Frau gewäst on hons ehr gesat, on se sat, sie well es au ihrer Toter son.
WS10	Ich wells au net mehr wieder thun.
WS11	Ich schlan der gleich met dem Kochläffel hinger de Ohren du Aff.
WS12	Wo gehst du hi, sollen merr miter geh.
WS13	Es sin schlechte Zeire.
WS14	Mei liebes Kend, blei hi hone sten, die böse Gäns beiße dich todt.
WS15	Du host heut am mesten gelent on bist artig gewäst, du darfst früher heim geh als die Andern.
WS16	Du wist noch net groß genung um ei Flasch Wein auszutrinke, du mußt erst noch e Ände was.
WS17	Geh, sei so gut on sas dener Schwäster, sie soll die kleir für eur Muotter färtig näh on mit der Bürst rei mach!
WS18	Häst de ihn gekahnt da wäre es anerscht gekome on es thöte bässer om ihn stehe.
WS19	Bär hot mir mei Kourb mit Fleisch gestohle?
WS20	Er thät so, als härren se ihn zum Dräsche bestahlt, sie hons aber sälber getho.
WS21	Wemm hore die neu Geschicht erzahlt?
WS22	Mer muß laut schrei, sonst versteht dersch net.
WS23	Mir sin müd o hon Duscht.
WS24	Als mer ? Obeds zerückkame, de lage de Annern schon im Bätt on woren fest am Schlafe.
WS25	Der Schnee is de Nat bei uns lenn gebliebe, eber heit mori is e geschmolze.
WS26	Hinger unsem Haus sten Äpelbäimi mit rohre Äppel.
WS27	Konnt er net noch en Augeblik auf uns gewart, da geh mer mit euch.
WS28	Ihr derft net solche Kengerei trei.
WS29	Unse Berg sin net sehr hoch, die eure sin viel höcher.
WS30	Wievel Pond Brod on wievel Worst wollter ho.
WS31	Ich verstehn euch net, ihr mußt ä wing lauter spräch.
WS32	Hater nete Steck weiß Seife für mich of mim Tisch funge.
WS33	Sin Brur well sich schönne neu Häuser in eum Garte bau.
WS34	Das Wourt kam ihm vom Härz.
WS35	Das war recht vo ihn.
WS36	Bos sitze do für Vögel obe auf dem Mäuri?
WS37	Die Bauer hare Osse on neu Kühe on Schäfi für das Dorf gebrat, die wolle se verkeif.
WS38	Die Leut sin heut all dauß aufem Fäld o mähe.
WS39	Geh nur der brau Haund thut der nischt.
WS40	Ich sei mirem Leut da hinger eber die Wies’ ins Korn gefahn.
